Input    Output          Actual Value    Error
1.0      2.7182817459106445      2.718281828459045       -3.036785946744201e-08
2.0      7.389055252075195       7.38905609893065        -1.1460942287567682e-07
3.0      20.085535049438477      20.085536923187668      -9.328847909452909e-08
4.0      54.598148345947266      54.598150033144236      -3.090209044729036e-08
5.0      148.41311645507812      148.4131591025766       -2.8735658436768874e-07
6.0      403.4287109375          403.4287934927351       -2.046339687247321e-07
7.0      1096.6326904296875      1096.6331584284585      -4.2675963917709427e-07
8.0      2980.957763671875       2980.9579870417283      -7.493223798283612e-08
9.0      8103.0810546875         8103.083927575384       -3.5454253095495804e-07
10.0     22026.453125    22026.465794806718      -5.752083350966904e-07
3.14159265359    23.14069175720215       23.140692632784056      -3.7837324980582826e-08
1.41421356237    4.113249778747559       4.113250378770197       -1.458755445043851e-07






Input    Output          Actual Value    Error
1.0      2.7182817459106445      2.718281828459045       -3.036785946744201e-08
2.0      7.389055252075195       7.38905609893065        -1.1460942287567682e-07
3.0      20.085535049438477      20.085536923187668      -9.328847909452909e-08
4.0      54.598148345947266      54.598150033144236      -3.090209044729036e-08
5.0      148.41311645507812      148.4131591025766       -2.8735658436768874e-07
6.0      403.4287109375          403.4287934927351       -2.046339687247321e-07
7.0      1096.6326904296875      1096.6331584284585      -4.2675963917709427e-07
8.0      2980.957763671875       2980.9579870417283      -7.493223798283612e-08
9.0      8103.0810546875         8103.083927575384       -3.5454253095495804e-07
10.0     22026.453125    22026.465794806718      -5.752083350966904e-07
3.141592653589793        23.14069175720215       23.140692632779267      -3.7837118026628e-08
1.4142135623730951       4.113249778747559       4.1132503787829275      -1.4587863944348686e-07
2.718281828459045        15.154257774353027      15.154262241479262      -2.947768861300501e-07
